brand;code;series;model;kind;size;description
sabian;31806B;BXPRO;Thin Crash;Crash;18;Quick-response and bright, tight, and focused tonal content add up to cutting accents.
sabian;31608B;BXPRO;Medium Crash;Crash;16;Solid weight increases volume, power, and definition for cleaner, penetrating punches.
sabian;31808B;BXPRO;Medium Crash;Crash;18;Solid weight increases volume, power, and definition for cleaner, penetrating punches.
sabian;31609B;BXPRO;Rock Crash;Crash;16;Designed for high-volume playing, with bright, explosive, and full-bodied response.
sabian;31809B;BXPRO;Rock Crash;Crash;18;Designed for high-volume playing, with bright, explosive, and full-bodied response.
sabian;31600B;BXPRO;O-Zone;Crash;16;With a double ring of response-enhancing holes, this radical model responds rapidly with a combination of bright explosion and dirty agitation.
sabian;31800B;BXPRO;O-Zone;Crash;18;With a double ring of response-enhancing holes, this radical model responds rapidly with a combination of bright explosion and dirty agitation.
sabian;31402B;BXPRO;Medium Hats;Hi Hat;14;A bright, pedal ‘chick’ and clean stick response add up to very versatile hats.
sabian;30805B;BXPRO;Splash;Splash;8;Bright response is immediate, cutting and glassy. Great for fast accents
sabian;31005B;BXPRO;Splash;Splash;10;Bright response is immediate, cutting and glassy. Great for fast accents
sabian;31205B;BXPRO;Splash;Splash;12;Bright response is immediate, cutting and glassy. Great for fast accents
sabian;31016B;BXPRO;china Splash;Splash;10;Upside-down design enhances splashy response with trashy bite.
sabian;31416B;BXPRO;Mini Chinese;china;14;Immediate and aggressive attack is bright with cutting bite. Great for rapid accenting.
sabian;31616B;BXPRO;Chinese;china;16;Explosive, brash and bright attack, with deep, dark and trashy undertones.
sabian;31816B;BXPRO;Chinese;china;18;Explosive, brash and bright attack, with deep, dark and trashy undertones.
sabian;35003B;BXPRO;B8 Pro Performance Set;SET;;14' Medium Hats, 16' Thin Crash, 20' Medium Ride
sabian;35005B;BXPRO;B8 Pro Effects Pack;SET;;10' Splash, 18' Chinese
sabian;22010X;AAX;Studio Ride;Ride;20;Soft feel and full response, with a readily-activated wash of shimmering tone complementing overall sound.
sabian;22012X;AAX;Stage Ride;Ride;20;The ultimate balance of bright stick definition, pure tone, and a controllable amount of wash make this a highly effective and versatile model.
sabian;22112X;AAX;Stage Ride;Ride;21;The ultimate balance of bright stick definition, pure tone, and a controllable amount of wash make this a highly effective and versatile model.
sabian;22013X;AAX;Stadium Ride;Ride;20;With medium-heavy weight and solid bell, the Stadium Ride is ideal for projection, stick definition and warm spread, bridging the gap nicely between the AAX Stage and Metal Rides.
sabian;22014X;AAX;Metal Ride;Ride;20;Extremely bright, dry and well defined ride and bell responses. The ultimate for getting your sticking heard.
